Enesembl ID	Gene
ENSG00000211829	TRDC
ENSG00000211597	IGKJ1
ENSG00000126950	TMEM35A
ENSG00000196091	MYBPC1
ENSG00000145681	HAPLN1
ENSG00000284638	AC005551.1
ENSG00000155890	TRIM42
ENSG00000125207	PIWIL1
ENSG00000167634	NLRP7
ENSG00000172497	ACOT12
ENSG00000082293	COL19A1
ENSG00000231852	CYP21A2
ENSG00000169946	ZFPM2
ENSG00000196184	OR10J1
ENSG00000177791	MYOZ1
ENSG00000205436	EXOC3L4
ENSG00000176798	OR51L1
ENSG00000115596	WNT6
ENSG00000101188	NTSR1
ENSG00000105388	CEACAM5
ENSG00000105954	NPVF
ENSG00000259171	AL163636.1
ENSG00000197520	FAM177B
ENSG00000138755	CXCL9
ENSG00000089041	P2RX7
ENSG00000211878	TRAJ11
ENSG00000276410	H2BC3
ENSG00000197233	OR1J2
ENSG00000239571	IGKV2D-30
ENSG00000110799	VWF
ENSG00000197123	ZNF679
ENSG00000161649	CD300LG
ENSG00000198440	ZNF583
ENSG00000145864	GABRB2
ENSG00000154928	EPHB1
ENSG00000242221	PSG2
ENSG00000214642	DEFB113
ENSG00000211664	IGLV2-18
ENSG00000132702	HAPLN2
ENSG00000280267	PRAMEF26
ENSG00000205439	KRTAP12-3
ENSG00000185002	RFX6
ENSG00000221954	OR4C12
ENSG00000279169	PRAMEF13
ENSG00000113492	AGXT2
ENSG00000259384	GH1
ENSG00000260802	SERTM2
ENSG00000223997	TRDD1
ENSG00000182348	ZNF804B
ENSG00000184937	WT1
ENSG00000233802	TRIM49D2
ENSG00000262543	SMIM28
ENSG00000165606	DRGX
ENSG00000145451	GLRA3
ENSG00000189186	DCAF8L2
ENSG00000172425	TTC36
ENSG00000178750	STX19
ENSG00000104972	LILRB1
ENSG00000198077	CYP2A7
ENSG00000186970	KRTAP15-1
ENSG00000176136	MC5R
ENSG00000214107	MAGEB1
ENSG00000159289	GOLGA6A
ENSG00000108001	EBF3
ENSG00000162728	KCNJ9
ENSG00000189320	FAM180A
ENSG00000255307	OR52B2
ENSG00000111405	ENDOU
ENSG00000122188	LAX1
ENSG00000105617	LENG1
ENSG00000178602	OTOS
ENSG00000242875	RBMY1B
ENSG00000270339	PPIAL4H
ENSG00000240224	UGT1A5
ENSG00000167617	CDC42EP5
ENSG00000270946	CT45A9
ENSG00000133661	SFTPD
ENSG00000130054	FAM155B
ENSG00000180509	KCNE1
ENSG00000211813	TRAV34
ENSG00000148136	OR13C4
ENSG00000138622	HCN4
ENSG00000149133	OR5F1
ENSG00000229676	ZNF492
ENSG00000211778	TRAV4
ENSG00000153684	GOLGA8F
ENSG00000077279	DCX
ENSG00000178033	CALHM5
ENSG00000140379	BCL2A1
ENSG00000169933	FRMPD4
ENSG00000261272	MUC22
ENSG00000205445	KRTAP10-2
ENSG00000284018	SSU72P5
ENSG00000137331	IER3
ENSG00000149507	OOSP2
ENSG00000176177	ENTHD1
ENSG00000263761	GDF2
ENSG00000159516	SPRR2G
ENSG00000155265	GOLGA7B
ENSG00000149633	KIAA1755
ENSG00000166268	MYRFL
ENSG00000260836	AC245033.1
ENSG00000157388	CACNA1D
ENSG00000057149	SERPINB3
ENSG00000269964	MEI4
ENSG00000170374	SP7
ENSG00000204614	TRIM40
ENSG00000163209	SPRR3
ENSG00000283599	BX276092.9
ENSG00000179299	NSUN7
ENSG00000066923	STAG3
ENSG00000257057	C11orf97
ENSG00000174740	PABPC5
ENSG00000179300	RTL3
ENSG00000160307	S100B
ENSG00000134193	REG4
ENSG00000122787	AKR1D1
ENSG00000213265	TSGA13
ENSG00000137441	FGFBP2
ENSG00000175093	SPSB4
ENSG00000182974	OR4M2B
ENSG00000204704	OR2W1
ENSG00000204849	SPATA31A1
ENSG00000183023	SLC8A1
ENSG00000211751	TRBC1
ENSG00000232948	DEFB130A
ENSG00000214700	C12orf71
ENSG00000158477	CD1A
ENSG00000283873	SSU72P4
ENSG00000172016	REG3A
ENSG00000171094	ALK
ENSG00000187821	HELT
ENSG00000099960	SLC7A4
ENSG00000072858	SIDT1
ENSG00000174429	ABRA
ENSG00000142273	CBLC
ENSG00000159182	PRAC1
ENSG00000157219	HTR5A
ENSG00000177875	CCDC184
ENSG00000162460	TMEM82
ENSG00000176029	C11orf16
ENSG00000274752	TRBV12-3
ENSG00000211972	IGHV3-66
ENSG00000171291	ZNF439
ENSG00000196578	OR5AC2
ENSG00000177202	SPACA4
ENSG00000105549	THEG
ENSG00000188032	C19orf67
ENSG00000186943	OR13C8
ENSG00000188467	SLC24A5
ENSG00000255552	LY6G6E
ENSG00000101349	PAK5
ENSG00000145708	CRHBP
ENSG00000112936	C7
ENSG00000189253	TRIM64B
ENSG00000093072	ADA2
ENSG00000122145	TBX22
ENSG00000158955	WNT9B
ENSG00000053328	METTL24
ENSG00000256188	TAS2R30
ENSG00000196277	GRM7
ENSG00000211855	TRAJ34
ENSG00000206043	C18orf63
ENSG00000125508	SRMS
ENSG00000134812	CBLIF
ENSG00000080007	DDX43
ENSG00000167194	C16orf92
ENSG00000164825	DEFB1
ENSG00000181617	FDCSP
ENSG00000124237	C20orf85
ENSG00000253534	TRBV6-8
ENSG00000198785	GRIN3A
ENSG00000126251	GPR42
ENSG00000100604	CHGA
ENSG00000171611	PTCRA
ENSG00000158714	SLAMF8
ENSG00000167608	TMC4
ENSG00000143536	CRNN
ENSG00000214842	RAD51AP2
ENSG00000240542	KRTAP9-1
ENSG00000100336	APOL4
ENSG00000162344	FGF19
ENSG00000285868	AC008676.3
ENSG00000111339	ART4
ENSG00000284395	PERCC1
ENSG00000119973	PRLHR
ENSG00000204897	KRT25
ENSG00000154764	WNT7A
ENSG00000075043	KCNQ2
ENSG00000235631	RNF148
ENSG00000167014	TERB2
ENSG00000154548	SRSF12
ENSG00000107014	RLN2
ENSG00000165462	PHOX2A
ENSG00000104760	FGL1
ENSG00000091010	POU4F3
ENSG00000116996	ZP4
ENSG00000178804	H1-8
ENSG00000107187	LHX3
ENSG00000125851	PCSK2
ENSG00000189367	KIAA0408
ENSG00000189023	MAGEB16
ENSG00000113263	ITK
ENSG00000158865	SLC5A11
ENSG00000255374	TAS2R43
ENSG00000256825	AC026786.1
ENSG00000104974	LILRA1
ENSG00000182557	SPNS3
ENSG00000184347	SLIT3
ENSG00000112964	GHR
ENSG00000282122	IGHV7-4-1
ENSG00000164362	TERT
ENSG00000211799	TRAV19
ENSG00000157119	KLHL40
ENSG00000145113	MUC4
ENSG00000158486	DNAH3
ENSG00000205496	OR51A2
ENSG00000197901	SLC22A6
ENSG00000170290	SLN
ENSG00000129873	CDY2B
ENSG00000104888	SLC17A7
ENSG00000135577	NMBR
ENSG00000179270	PCARE
ENSG00000101916	TLR8
ENSG00000101222	SPEF1
ENSG00000163254	CRYGC
ENSG00000182053	TRIM49B
ENSG00000189001	SBSN
ENSG00000261130	AC140504.1
ENSG00000102383	ZDHHC15
ENSG00000089225	TBX5
ENSG00000167483	NIBAN3
ENSG00000171819	ANGPTL7
ENSG00000236320	SLFN14
ENSG00000132958	TPTE2
ENSG00000162039	MEIOB
ENSG00000237247	MBD3L5
ENSG00000153802	TMPRSS11D
ENSG00000181023	OR56B1
ENSG00000182798	MAGEB17
ENSG00000198934	MAGEE1
ENSG00000127318	IL22
ENSG00000170848	PSG6
ENSG00000164485	IL22RA2
ENSG00000187987	ZSCAN23
ENSG00000171053	PATE1
ENSG00000235118	FAM237A
ENSG00000183346	CABCOCO1
ENSG00000284554	AL022318.4
ENSG00000034053	APBA2
ENSG00000187715	KBTBD12
ENSG00000184408	KCND2
ENSG00000132975	GPR12
ENSG00000211682	IGLJ6
ENSG00000198914	POU3F3
ENSG00000171847	FAM90A1
ENSG00000179600	GPHB5
ENSG00000280411	IGHV1-69D
ENSG00000204918	PRR20B
ENSG00000101282	RSPO4
ENSG00000128714	HOXD13
ENSG00000132185	FCRLA
ENSG00000215115	CXorf49
ENSG00000120563	LYZL1
ENSG00000205864	KRTAP5-6
ENSG00000058335	RASGRF1
ENSG00000188100	FAM25A
ENSG00000128710	HOXD10
ENSG00000143105	KCNA10
ENSG00000101200	AVP
ENSG00000122756	CNTFR
ENSG00000147234	FRMPD3
ENSG00000254997	KRTAP5-9
ENSG00000133937	GSC
ENSG00000169385	RNASE2
ENSG00000118094	TREH
ENSG00000187005	KRTAP21-1
ENSG00000176040	TMPRSS7
ENSG00000279782	PPIAL4F
ENSG00000117245	KIF17
ENSG00000138823	MTTP
ENSG00000185962	LCE3A
ENSG00000241244	IGKV1D-16
ENSG00000203618	GP1BB
ENSG00000274209	ANTXRL
ENSG00000253649	PRSS51
ENSG00000105509	HAS1
ENSG00000161992	PRR35
ENSG00000166006	KCNC2
ENSG00000275034	TP53TG3E
ENSG00000276950	GSTT4
ENSG00000213988	ZNF90
ENSG00000169903	TM4SF4
ENSG00000162383	SLC1A7
ENSG00000198765	SYCP1
ENSG00000253291	TRBV7-7
ENSG00000177476	OR2G3
ENSG00000221866	PLXNA4
ENSG00000211856	TRAJ33
ENSG00000070985	TRPM5
ENSG00000132514	CLEC10A
ENSG00000178187	ZNF454
ENSG00000285913	FAM90A18P
ENSG00000100427	MLC1
ENSG00000114013	CD86
ENSG00000211842	TRAJ47
ENSG00000165192	ASB11
ENSG00000164123	C4orf45
ENSG00000186509	OR9Q1
ENSG00000136944	LMX1B
ENSG00000183098	GPC6
ENSG00000211791	TRAV13-2
ENSG00000086967	MYBPC2
ENSG00000214686	IQCF6
ENSG00000186442	KRT3
ENSG00000196482	ESRRG
ENSG00000100170	SLC5A1
ENSG00000230099	TRBV5-4
ENSG00000125861	GFRA4
ENSG00000134817	APLNR
ENSG00000171476	HOPX
ENSG00000170956	CEACAM3
ENSG00000175894	TSPEAR
ENSG00000278599	TBC1D3E
ENSG00000185115	NSMCE3
ENSG00000273706	LHX1
ENSG00000215131	C16orf90
ENSG00000131044	TTLL9
ENSG00000211771	TRBJ2-7
ENSG00000119919	NKX2-3
ENSG00000130822	PNCK
ENSG00000186795	KCNK18
ENSG00000167083	GNGT2
ENSG00000182816	KRTAP13-2
ENSG00000077327	SPAG6
ENSG00000125872	LRRN4
ENSG00000168447	SCNN1B
ENSG00000215912	TTC34
ENSG00000237702	TRBV3-1
ENSG00000144893	MED12L
ENSG00000156096	UGT2B4
ENSG00000185264	TEX33
ENSG00000258453	OR11H2
ENSG00000167664	TMIGD2
ENSG00000177994	C2orf73
ENSG00000172377	OR9I1
ENSG00000177504	VCX2
ENSG00000154975	CA10
ENSG00000130287	NCAN
ENSG00000102837	OLFM4
ENSG00000196169	KIF19
ENSG00000172362	OR5B12
ENSG00000173040	EVC2
ENSG00000267179	AC008770.2
ENSG00000268988	SPANXN2
ENSG00000179407	DNAJB8
ENSG00000115423	DNAH6
ENSG00000176956	LY6H
ENSG00000283205	AL353572.3
ENSG00000168070	MAJIN
ENSG00000211849	TRAJ40
ENSG00000189184	PCDH18
ENSG00000215910	C1orf167
ENSG00000131050	BPIFA2
ENSG00000167800	TBX10
ENSG00000125900	SIRPD
ENSG00000187701	OR2T27
ENSG00000034239	EFCAB1
ENSG00000186190	BPIFB3
ENSG00000182255	KCNA4
ENSG00000131737	KRT34
ENSG00000159961	OR3A3
ENSG00000078295	ADCY2
ENSG00000288614	AL031178.1
ENSG00000211797	TRAV17
ENSG00000115386	REG1A
ENSG00000285188	AC008397.2
ENSG00000116035	VAX2
ENSG00000122122	SASH3
ENSG00000198062	POTEH
ENSG00000197437	OR13G1
ENSG00000172367	PDZD3
ENSG00000162456	KNCN
ENSG00000239855	IGKV1-6
ENSG00000258713	C20orf141
ENSG00000104894	CD37
ENSG00000159189	C1QC
ENSG00000187730	GABRD
ENSG00000212724	KRTAP2-3
ENSG00000242887	IGHJ3
ENSG00000284873	OOSP1
ENSG00000184999	SLC22A10
ENSG00000284680	OR8B2
ENSG00000026751	SLAMF7
ENSG00000147724	FAM135B
ENSG00000126550	HTN1
ENSG00000186007	LEMD1
ENSG00000271079	CTAGE15
ENSG00000165246	NLGN4Y
ENSG00000174562	KLK15
ENSG00000276819	TRBV15
ENSG00000211678	IGLJ3
ENSG00000278505	C17orf78
ENSG00000105675	ATP4A
ENSG00000211653	IGLV1-40
ENSG00000270765	GAS2L2
ENSG00000183640	KRTAP8-1
ENSG00000242371	IGKV1-39
ENSG00000168333	PPDPFL
ENSG00000144035	NAT8
ENSG00000149516	MS4A3
ENSG00000185821	OR6C76
ENSG00000188487	INSC
ENSG00000187151	ANGPTL5
ENSG00000211837	TRAJ53
ENSG00000141371	C17orf64
ENSG00000240864	IGKV1-16
ENSG00000142789	CELA3A
ENSG00000162598	C1orf87
ENSG00000144191	CNGA3
ENSG00000127515	OR7A10
ENSG00000139352	ASCL1
ENSG00000250782	TAF11L14
ENSG00000152578	GRIA4
ENSG00000169484	OR4K14
ENSG00000039600	SOX30
ENSG00000141977	CIB3
ENSG00000125998	FAM83C
ENSG00000109851	DBX1
ENSG00000139626	ITGB7
ENSG00000116218	NPHS2
ENSG00000176769	TCERG1L
ENSG00000225825	IGHD6-25
ENSG00000113212	PCDHB7
ENSG00000144821	MYH15
ENSG00000173809	TDRD12
ENSG00000134640	MTNR1B
ENSG00000239590	OR1J4
ENSG00000204479	PRAMEF17
ENSG00000108684	ASIC2
ENSG00000188379	IFNA2
ENSG00000198488	B3GNT6
ENSG00000278196	IGLV2-8
ENSG00000167419	LPO
ENSG00000268500	AC018755.2
ENSG00000099985	OSM
ENSG00000211851	TRAJ38
ENSG00000170743	SYT9
ENSG00000129988	LBP
ENSG00000162849	KIF26B
ENSG00000141748	ARL5C
ENSG00000204140	CLPSL1
ENSG00000181761	OR8H3
ENSG00000144229	THSD7B
ENSG00000072080	SPP2
ENSG00000211875	TRAJ14
ENSG00000233932	CTXN2
ENSG00000109061	MYH1
ENSG00000255587	RAB44
ENSG00000061918	GUCY1B1
ENSG00000133863	TEX15
ENSG00000178279	TNP2
ENSG00000176925	OR51F2
ENSG00000186648	CARMIL3
ENSG00000186440	OR6P1
ENSG00000118729	CASQ2
ENSG00000269437	NXF2B
ENSG00000162594	IL23R
ENSG00000127529	OR7C2
ENSG00000147896	IFNK
ENSG00000164197	RNF180
ENSG00000204065	TCEAL5
ENSG00000182898	TCHHL1
ENSG00000197993	KEL
ENSG00000185862	EVI2B
ENSG00000204711	C9orf135
ENSG00000061337	LZTS1
ENSG00000060709	RIMBP2
ENSG00000211769	TRBJ2-5
ENSG00000140478	GOLGA6D
ENSG00000100565	LRRC74A
ENSG00000164334	FAM170A
ENSG00000134438	RAX
ENSG00000187848	P2RX2
ENSG00000176695	OR4F17
ENSG00000224440	CXorf51A
ENSG00000241598	KRTAP5-4
ENSG00000081842	PCDHA6
ENSG00000243955	GSTA1
ENSG00000162592	CCDC27
ENSG00000186453	FAM228A
ENSG00000244575	IGKV1-27
ENSG00000196099	OR6M1
ENSG00000221931	OR6X1
ENSG00000163618	CADPS
ENSG00000183773	AIFM3
ENSG00000011600	TYROBP
ENSG00000150656	CNDP1
ENSG00000211958	IGHV3-38
ENSG00000152430	BOLL
ENSG00000112812	PRSS16
ENSG00000132855	ANGPTL3
ENSG00000212657	KRTAP16-1
ENSG00000100312	ACR
ENSG00000176979	TRIM60
ENSG00000100368	CSF2RB
ENSG00000134249	ADAM30
ENSG00000178217	SH2D4B
ENSG00000178342	KCNG2
ENSG00000115850	LCT
ENSG00000069696	DRD4
ENSG00000161973	CCDC42
ENSG00000174015	CBY2
ENSG00000187690	EZHIP
ENSG00000280571	AC006059.2
ENSG00000261701	HPR
ENSG00000142549	IGLON5
ENSG00000165643	SOHLH1
ENSG00000165731	RET
ENSG00000170426	SDR9C7
ENSG00000215612	HMX1
ENSG00000268361	L34079.1
ENSG00000180999	C1orf105
ENSG00000143125	PROK1
ENSG00000103154	NECAB2
ENSG00000141434	MEP1B
ENSG00000187516	H2AP
ENSG00000154646	TMPRSS15
ENSG00000147485	PXDNL
ENSG00000204969	PCDHA2
ENSG00000270505	IGHV1OR15-1
ENSG00000196972	SMIM10L2B
ENSG00000206579	XKR4
ENSG00000169116	PARM1
ENSG00000116882	HAO2
ENSG00000134548	SPX
ENSG00000116824	CD2
ENSG00000211685	IGLC7
ENSG00000233412	OR5H15
ENSG00000254647	INS
ENSG00000186306	OR10T2
ENSG00000110375	UPK2
ENSG00000168757	TSPY2
ENSG00000092009	CMA1
ENSG00000132746	ALDH3B2
ENSG00000146352	CLVS2
ENSG00000162643	DNAI3
ENSG00000180424	DEFB123
ENSG00000127083	OMD
ENSG00000277836	AC141272.1
ENSG00000163239	TDRD10
ENSG00000179097	HTR1F
ENSG00000107099	DOCK8
ENSG00000125510	OPRL1
ENSG00000170484	KRT74
ENSG00000211911	IGHD3-22
ENSG00000182916	TCEAL7
ENSG00000205359	SLCO6A1
ENSG00000160801	PTH1R
ENSG00000130234	ACE2
ENSG00000050628	PTGER3
ENSG00000240382	IGKV1-17
ENSG00000135355	GJA10
ENSG00000224960	PPP4R3C
ENSG00000173714	WFIKKN2
ENSG00000213171	LINGO4
ENSG00000284356	TAF11L10
ENSG00000284505	LYNX1-SLURP2
ENSG00000154342	WNT3A
ENSG00000162975	KCNF1
ENSG00000221882	OR3A2
ENSG00000060566	CREB3L3
ENSG00000162881	OXER1
ENSG00000198674	OR10G6
ENSG00000242441	GTF2A1L
ENSG00000266964	FXYD1
ENSG00000181378	CFAP65
ENSG00000275249	AC171558.3
ENSG00000140470	ADAMTS17
ENSG00000183709	IFNL2
ENSG00000172352	CDY1B
ENSG00000204439	C6orf47
ENSG00000169154	GOT1L1
ENSG00000124103	FAM209A
ENSG00000256100	AP000721.1
ENSG00000180090	OR3A1
ENSG00000188782	CATSPER4
ENSG00000136535	TBR1
ENSG00000280236	OR12D2
ENSG00000019102	VSIG2
ENSG00000186074	CD300LF
ENSG00000134258	VTCN1
ENSG00000108759	KRT32
ENSG00000171595	DNAI2
ENSG00000268221	OPN1MW
ENSG00000211639	IGLV4-60
ENSG00000168631	MUCL3
ENSG00000175077	RTP1
ENSG00000186340	THBS2
ENSG00000169218	RSPO1
ENSG00000197465	GYPE
ENSG00000288671	AC006486.3
ENSG00000169704	GP9
ENSG00000007171	NOS2
ENSG00000162630	B3GALT2
ENSG00000198759	EGFL6
ENSG00000178021	TSPYL6
ENSG00000133055	MYBPH
ENSG00000179593	ALOX15B
ENSG00000177098	SCN4B
ENSG00000170180	GYPA
ENSG00000132872	SYT4
ENSG00000182132	KCNIP1
ENSG00000171657	GPR82
ENSG00000277481	PKD1L3
ENSG00000277630	BX072566.1
ENSG00000136698	CFC1
ENSG00000116254	CHD5
ENSG00000187416	LHFPL3
ENSG00000254415	SIGLEC14
ENSG00000243543	WFDC6
ENSG00000162670	BRINP3
ENSG00000283536	AC021072.1
ENSG00000005421	PON1
ENSG00000184945	AQP12A
ENSG00000187959	CPSF4L
ENSG00000221840	OR4A5
ENSG00000172238	ATOH1
ENSG00000139610	CELA1
ENSG00000211750	TRBV24-1
ENSG00000205639	MFSD2B
ENSG00000180532	ZSCAN4
ENSG00000188334	BSPH1
ENSG00000243978	RTL9
ENSG00000181693	OR8H1
ENSG00000169245	CXCL10
ENSG00000006788	MYH13
ENSG00000187223	LCE2D
ENSG00000105609	LILRB5
ENSG00000109991	P2RX3
ENSG00000285607	FAM90A9P
ENSG00000214943	GPR33
ENSG00000110203	FOLR3
ENSG00000277865	GOLGA6L22
ENSG00000256660	CLEC12B
ENSG00000244255	AL645922.1
ENSG00000164821	DEFA4
ENSG00000185313	SCN10A
ENSG00000140368	PSTPIP1
ENSG00000159339	PADI4
ENSG00000169402	RSPH10B2
ENSG00000231292	IGKV1OR2-108
ENSG00000197887	OR1S2
ENSG00000143847	PPFIA4
ENSG00000159337	PLA2G4D
ENSG00000183662	TAFA1
ENSG00000169067	ACTBL2
ENSG00000271824	SMIM32
ENSG00000110077	MS4A6A
ENSG00000170959	DCDC1
ENSG00000181616	OR52H1
ENSG00000146147	MLIP
ENSG00000130427	EPO
ENSG00000198650	TAT
ENSG00000186827	TNFRSF4
ENSG00000164299	SPZ1
ENSG00000256574	OR13A1
ENSG00000101144	BMP7
ENSG00000108231	LGI1
ENSG00000163564	PYHIN1
ENSG00000166664	CHRFAM7A
ENSG00000171936	OR10H3
ENSG00000125046	SSUH2
ENSG00000101812	H2BW2
ENSG00000135374	ELF5
ENSG00000155087	ODF1
ENSG00000164822	DEFA6
ENSG00000224373	IGHV4-59
ENSG00000211768	TRBJ2-4
ENSG00000234829	IFNA17
ENSG00000197591	OR11L1
ENSG00000183206	POTEC
ENSG00000162722	TRIM58
ENSG00000197786	OR5B17
ENSG00000166928	MS4A14
ENSG00000204632	HLA-G
ENSG00000166603	MC4R
ENSG00000270550	IGHV3-30
ENSG00000160185	UBASH3A
ENSG00000105492	SIGLEC6
ENSG00000162399	BSND
ENSG00000169313	P2RY12
ENSG00000124491	F13A1
ENSG00000146049	KAAG1
ENSG00000285526	AC020907.6
ENSG00000183303	OR5P2
ENSG00000215113	CXorf49B
ENSG00000054356	PTPRN
ENSG00000181499	OR6T1
ENSG00000134242	PTPN22
ENSG00000180872	DEFB112
ENSG00000198739	LRRTM3
ENSG00000101441	CST4
ENSG00000182264	IZUMO1
ENSG00000173585	CCR9
ENSG00000189134	NKAPL
ENSG00000169442	CD52
ENSG00000236980	C3orf84
ENSG00000133317	LGALS12
ENSG00000212722	KRTAP4-9
