protein,RNA line ab,binary_RNA line ab
9606.ENSP00000251472,6.8,1
9606.ENSP00000251496,54.5,1
9606.ENSP00000251507,5.2,1
9606.ENSP00000251527,27.8,1
9606.ENSP00000251535,0,0
9606.ENSP00000251566,0,0
9606.ENSP00000251582,1.8,1
9606.ENSP00000251588,10,1
9606.ENSP00000251595,0,0
9606.ENSP00000251607,24.6,1
9606.ENSP00000251636,34,1
9606.ENSP00000251642,0.2,1
9606.ENSP00000251643,0,0
9606.ENSP00000251645,0,0
9606.ENSP00000251646,0,0
9606.ENSP00000251691,3.8,1
9606.ENSP00000251768,1,1
9606.ENSP00000251775,32.4,1
9606.ENSP00000251808,0,0
9606.ENSP00000251810,15.1,1
9606.ENSP00000251849,93.4,1
9606.ENSP00000251864,0,0
9606.ENSP00000251871,2.5,1
9606.ENSP00000251900,32.7,1
9606.ENSP00000251921,0,0
9606.ENSP00000251968,74,1
9606.ENSP00000251993,29.5,1
9606.ENSP00000252011,11,1
9606.ENSP00000252015,51.6,1
9606.ENSP00000252032,3.7,1
9606.ENSP00000252037,0,0
9606.ENSP00000252050,2.7,1
9606.ENSP00000252071,0,0
9606.ENSP00000252085,0,0
9606.ENSP00000252087,0,0
9606.ENSP00000252100,4.2,1
9606.ENSP00000252102,88.4,1
9606.ENSP00000252136,4.5,1
9606.ENSP00000252137,5.1,1
9606.ENSP00000252229,1,1
9606.ENSP00000252242,0.2,1
9606.ENSP00000252244,0,0
9606.ENSP00000252245,0,0
9606.ENSP00000252250,0,0
9606.ENSP00000252252,0,0
9606.ENSP00000252318,0.3,1
9606.ENSP00000252321,0,0
9606.ENSP00000252338,16.2,1
9606.ENSP00000252445,78.2,1
9606.ENSP00000252456,0,0
9606.ENSP00000252463,0,0
9606.ENSP00000252483,106.6,1
9606.ENSP00000252486,12.6,1
9606.ENSP00000252490,0,0
9606.ENSP00000252505,0,0
9606.ENSP00000252506,5.3,1
9606.ENSP00000252512,87.9,1
9606.ENSP00000252530,3.7,1
9606.ENSP00000252542,47.2,1
9606.ENSP00000252575,0,0
9606.ENSP00000252590,0,0
9606.ENSP00000252593,212.9,1
9606.ENSP00000252595,0.4,1
9606.ENSP00000252597,0.1,1
9606.ENSP00000252599,58.4,1
9606.ENSP00000252602,57.1,1
9606.ENSP00000252603,21.9,1
9606.ENSP00000252622,161.1,1
9606.ENSP00000252655,1.4,1
9606.ENSP00000252660,0,0
9606.ENSP00000252674,22.9,1
9606.ENSP00000252677,0,0
9606.ENSP00000252699,57.4,1
9606.ENSP00000252711,109.8,1
9606.ENSP00000252723,0,0
9606.ENSP00000252729,0,0
9606.ENSP00000252744,7.9,1
9606.ENSP00000252797,3.6,1
9606.ENSP00000252799,3.3,1
9606.ENSP00000252804,0.3,1
9606.ENSP00000252809,0,0
9606.ENSP00000252818,8.2,1
9606.ENSP00000252825,0,0
9606.ENSP00000252826,1.3,1
9606.ENSP00000252835,0,0
9606.ENSP00000252840,4,1
9606.ENSP00000252891,7.1,1
9606.ENSP00000252934,114.3,1
9606.ENSP00000252939,0,0
9606.ENSP00000252951,0.2,1
9606.ENSP00000252971,3,1
9606.ENSP00000252992,41,1
9606.ENSP00000252996,3.2,1
9606.ENSP00000252997,0.1,1
9606.ENSP00000252998,0,0
9606.ENSP00000252999,3.1,1
9606.ENSP00000253008,0.1,1
9606.ENSP00000253023,130.1,1
9606.ENSP00000253024,590.5,1
9606.ENSP00000253031,11.9,1
9606.ENSP00000253039,344.7,1
9606.ENSP00000253047,5.1,1
9606.ENSP00000253048,5.9,1
9606.ENSP00000253055,0.8,1
9606.ENSP00000253063,8.3,1
9606.ENSP00000253079,0.2,1
9606.ENSP00000253083,9.7,1
9606.ENSP00000253099,71.6,1
9606.ENSP00000253107,42,1
9606.ENSP00000253108,159.7,1
9606.ENSP00000253109,0,0
9606.ENSP00000253110,3.9,1
9606.ENSP00000253122,85.3,1
9606.ENSP00000253144,16.4,1
9606.ENSP00000253159,3,1
9606.ENSP00000253188,0.4,1
9606.ENSP00000253193,12.6,1
9606.ENSP00000253233,25.7,1
9606.ENSP00000253237,62.7,1
9606.ENSP00000253247,112.9,1
9606.ENSP00000253255,0,0
9606.ENSP00000253262,0,0
9606.ENSP00000253270,22.2,1
9606.ENSP00000253329,31.5,1
9606.ENSP00000253354,0,0
9606.ENSP00000253362,0,0
9606.ENSP00000253363,122.3,1
9606.ENSP00000253381,0,0
9606.ENSP00000253382,20.1,1
9606.ENSP00000253401,8.4,1
9606.ENSP00000253407,2.8,1
9606.ENSP00000253410,0,0
9606.ENSP00000253413,152.8,1
9606.ENSP00000253457,32,1
9606.ENSP00000253458,35.1,1
9606.ENSP00000253462,73.7,1
9606.ENSP00000253496,0.5,1
9606.ENSP00000253577,25.6,1
9606.ENSP00000253669,29.2,1
9606.ENSP00000253673,0,0
9606.ENSP00000253686,30.5,1
9606.ENSP00000253693,22.5,1
9606.ENSP00000253697,0.1,1
9606.ENSP00000253699,16.5,1
9606.ENSP00000253719,0.1,1
9606.ENSP00000253727,7.8,1
9606.ENSP00000253754,0,0
9606.ENSP00000253778,11.8,1
9606.ENSP00000253792,253.9,1
9606.ENSP00000253794,142.2,1
9606.ENSP00000253796,4.6,1
9606.ENSP00000253799,2.2,1
9606.ENSP00000253801,0,0
9606.ENSP00000253807,0.1,1
9606.ENSP00000253812,0,0
9606.ENSP00000253814,39.6,1
9606.ENSP00000253861,23.7,1
9606.ENSP00000253925,30.7,1
9606.ENSP00000253968,0.2,1
9606.ENSP00000254029,19.7,1
9606.ENSP00000254037,35.6,1
9606.ENSP00000254043,0,0
9606.ENSP00000254051,0,0
9606.ENSP00000254066,14.2,1
9606.ENSP00000254072,0,0
9606.ENSP00000254079,0,0
9606.ENSP00000254090,0,0
9606.ENSP00000254101,13.1,1
9606.ENSP00000254108,563.6,1
9606.ENSP00000254166,0,0
9606.ENSP00000254181,0,0
9606.ENSP00000254190,24.5,1
9606.ENSP00000254193,170.2,1
9606.ENSP00000254227,0,0
9606.ENSP00000254250,5.9,1
9606.ENSP00000254260,15.9,1
9606.ENSP00000254286,6.2,1
9606.ENSP00000254301,6.1,1
9606.ENSP00000254322,169.1,1
9606.ENSP00000254323,0.8,1
9606.ENSP00000254325,1.2,1
9606.ENSP00000254336,1.3,1
9606.ENSP00000254337,18.9,1
9606.ENSP00000254436,13.6,1
9606.ENSP00000254442,8.8,1
9606.ENSP00000254480,91.2,1
9606.ENSP00000254488,0,0
9606.ENSP00000254508,77.5,1
9606.ENSP00000254521,30.6,1
9606.ENSP00000254528,1,1
9606.ENSP00000254579,1.1,1
9606.ENSP00000254605,13.6,1
9606.ENSP00000254616,23.8,1
9606.ENSP00000254624,23.9,1
9606.ENSP00000254627,0,0
9606.ENSP00000254630,44.7,1
9606.ENSP00000254654,48.1,1
9606.ENSP00000254657,2.4,1
9606.ENSP00000254661,7.6,1
9606.ENSP00000254663,44.1,1
9606.ENSP00000254667,2.1,1
9606.ENSP00000254691,0.3,1
9606.ENSP00000254695,6.4,1
9606.ENSP00000254719,93.4,1
9606.ENSP00000254722,86,1
9606.ENSP00000254730,0.4,1
9606.ENSP00000254759,22.7,1
9606.ENSP00000254765,1.7,1
9606.ENSP00000254770,5.2,1
9606.ENSP00000254799,161.3,1
9606.ENSP00000254801,0,0
9606.ENSP00000254803,62.7,1
9606.ENSP00000254810,596.45,1
9606.ENSP00000254816,3.7,1
9606.ENSP00000254846,5.8,1
9606.ENSP00000254854,0,0
9606.ENSP00000254868,0,0
9606.ENSP00000254878,65.4,1
9606.ENSP00000254898,2.3,1
9606.ENSP00000254900,67.4,1
9606.ENSP00000254928,102,1
9606.ENSP00000254940,63.7,1
9606.ENSP00000254942,37.8,1
9606.ENSP00000254950,23.9,1
9606.ENSP00000254958,9.4,1
9606.ENSP00000254963,0.1,1
9606.ENSP00000254976,0.6,1
9606.ENSP00000254998,35.6,1
9606.ENSP00000255006,0.1,1
9606.ENSP00000255008,0,0
9606.ENSP00000255030,0,0
9606.ENSP00000255039,0,0
9606.ENSP00000255040,0,0
9606.ENSP00000255078,5.8,1
9606.ENSP00000255082,0,0
9606.ENSP00000255084,0,0
9606.ENSP00000255087,1,1
9606.ENSP00000255108,41.7,1
9606.ENSP00000255120,351.9,1
9606.ENSP00000255129,0,0
9606.ENSP00000255136,0.5,1
9606.ENSP00000255152,5.9,1
9606.ENSP00000255189,0,0
9606.ENSP00000255192,0,0
9606.ENSP00000255194,45,1
9606.ENSP00000255198,2.9,1
9606.ENSP00000255224,0,0
9606.ENSP00000255226,0,0
9606.ENSP00000255262,0,0
9606.ENSP00000255266,0,0
9606.ENSP00000255304,16.2,1
9606.ENSP00000255305,28,1
9606.ENSP00000255324,0,0
9606.ENSP00000255380,0.6,1
9606.ENSP00000255381,0,0
9606.ENSP00000255389,24.6,1
9606.ENSP00000255390,38,1
9606.ENSP00000255409,0,0
9606.ENSP00000255416,0,0
9606.ENSP00000255448,17.9,1
9606.ENSP00000255465,12.9,1
9606.ENSP00000255476,10.8,1
9606.ENSP00000255499,0.1,1
9606.ENSP00000255608,31.8,1
9606.ENSP00000255613,2.8,1
9606.ENSP00000255631,33.1,1
9606.ENSP00000255641,27.6,1
9606.ENSP00000255674,6.9,1
9606.ENSP00000255681,1.9,1
9606.ENSP00000255688,5.2,1
9606.ENSP00000255695,0.6,1
9606.ENSP00000255759,39.8,1
9606.ENSP00000255764,40.7,1
9606.ENSP00000255784,7.7,1
9606.ENSP00000255858,0,0
9606.ENSP00000255882,33.4,1
9606.ENSP00000255945,0,0
9606.ENSP00000255977,63.2,1
9606.ENSP00000256001,17,1
9606.ENSP00000256010,0,0
9606.ENSP00000256015,1.6,1
9606.ENSP00000256078,44.9,1
9606.ENSP00000256079,49.7,1
9606.ENSP00000256103,0,0
9606.ENSP00000256104,0.1,1
9606.ENSP00000256151,95.3,1
9606.ENSP00000256178,0,0
9606.ENSP00000256190,12.5,1
9606.ENSP00000256194,4,1
9606.ENSP00000256196,61,1
9606.ENSP00000256246,8.4,1
9606.ENSP00000256255,100.8,1
9606.ENSP00000256257,4.9,1
9606.ENSP00000256261,1,1
9606.ENSP00000256319,38.5,1
9606.ENSP00000256339,0.2,1
9606.ENSP00000256343,0,0
9606.ENSP00000256362,0,0
9606.ENSP00000256366,15.7,1
9606.ENSP00000256367,5,1
9606.ENSP00000256383,139.1,1
9606.ENSP00000256389,0,0
9606.ENSP00000256398,26.3,1
9606.ENSP00000256404,0,0
9606.ENSP00000256412,0,0
9606.ENSP00000256429,20.1,1
9606.ENSP00000256433,21.8,1
9606.ENSP00000256441,32.1,1
9606.ENSP00000256442,432.4,1
9606.ENSP00000256443,10.8,1
9606.ENSP00000256447,0,0
9606.ENSP00000256458,0.8,1
9606.ENSP00000256460,0,0
9606.ENSP00000256474,37.2,1
9606.ENSP00000256495,6.6,1
9606.ENSP00000256496,61.9,1
9606.ENSP00000256497,12.1,1
9606.ENSP00000256509,0.4,1
9606.ENSP00000256538,17.2,1
9606.ENSP00000256544,24.9,1
9606.ENSP00000256545,94.7,1
9606.ENSP00000256578,15.8,1
9606.ENSP00000256592,0,0
9606.ENSP00000256593,0,0
9606.ENSP00000256594,10,1
9606.ENSP00000256637,44.7,1
9606.ENSP00000256644,203.4,1
9606.ENSP00000256646,42.8,1
9606.ENSP00000256649,3.7,1
9606.ENSP00000256682,182.9,1
9606.ENSP00000256689,107.9,1
9606.ENSP00000256707,37.9,1
9606.ENSP00000256722,0,0
9606.ENSP00000256737,0,0
9606.ENSP00000256759,0,0
9606.ENSP00000256785,0,0
9606.ENSP00000256797,0,0
9606.ENSP00000256854,211,1
9606.ENSP00000256857,0,0
9606.ENSP00000256897,32.5,1
9606.ENSP00000256906,0,0
9606.ENSP00000256925,9,1
9606.ENSP00000256935,0.1,1
9606.ENSP00000256951,10.8,1
9606.ENSP00000256953,0.2,1
9606.ENSP00000256958,0,0
9606.ENSP00000256969,0,0
9606.ENSP00000256996,14.6,1
9606.ENSP00000256997,16.9,1
9606.ENSP00000256999,2.3,1
9606.ENSP00000257013,72.1,1
9606.ENSP00000257017,9.4,1
9606.ENSP00000257068,0,0
9606.ENSP00000257118,29.2,1
9606.ENSP00000257177,41.6,1
9606.ENSP00000257181,42.6,1
9606.ENSP00000257189,0,0
9606.ENSP00000257192,0,0
9606.ENSP00000257198,0,0
9606.ENSP00000257215,0.8,1
9606.ENSP00000257245,114,1
9606.ENSP00000257248,0,0
9606.ENSP00000257264,0,0
9606.ENSP00000257287,13.8,1
9606.ENSP00000257290,19.6,1
9606.ENSP00000257312,11.7,1
9606.ENSP00000257336,17.9,1
9606.ENSP00000257347,36.6,1
9606.ENSP00000257359,0.1,1
9606.ENSP00000257408,0,0
9606.ENSP00000257414,52,1
9606.ENSP00000257430,17.4,1
9606.ENSP00000257515,0.7,1
9606.ENSP00000257527,1.8,1
9606.ENSP00000257548,9.4,1
9606.ENSP00000257549,0,0
9606.ENSP00000257552,55.3,1
9606.ENSP00000257555,0,0
9606.ENSP00000257566,8.4,1
9606.ENSP00000257570,0.1,1
9606.ENSP00000257572,2.4,1
9606.ENSP00000257575,7.8,1
9606.ENSP00000257600,0,0
9606.ENSP00000257604,42,1
9606.ENSP00000257626,0.1,1
9606.ENSP00000257627,0,0
9606.ENSP00000257632,0,0
9606.ENSP00000257663,44,1
9606.ENSP00000257696,19.4,1
9606.ENSP00000257700,22.5,1
9606.ENSP00000257749,0.8,1
9606.ENSP00000257770,0.1,1
9606.ENSP00000257776,1.7,1
9606.ENSP00000257787,39.1,1
9606.ENSP00000257789,45.1,1
9606.ENSP00000257818,0,0
9606.ENSP00000257829,110.5,1
9606.ENSP00000257836,1.3,1
9606.ENSP00000257860,0.4,1
9606.ENSP00000257861,0.1,1
9606.ENSP00000257863,0,0
9606.ENSP00000257867,0,0
9606.ENSP00000257868,25,1
9606.ENSP00000257894,0.2,1
9606.ENSP00000257895,0.3,1
9606.ENSP00000257901,0,0
9606.ENSP00000257904,396.3,1
9606.ENSP00000257905,5.4,1
9606.ENSP00000257909,70.4,1
9606.ENSP00000257910,5.7,1
9606.ENSP00000257915,56,1
9606.ENSP00000257934,32.6,1
9606.ENSP00000257940,2.4,1
9606.ENSP00000257951,0,0
9606.ENSP00000257974,0,0
9606.ENSP00000257979,0,0
9606.ENSP00000257981,0.6,1
9606.ENSP00000258034,0,0
9606.ENSP00000258042,0,0
9606.ENSP00000258052,7.8,1
9606.ENSP00000258080,12,1
9606.ENSP00000258083,25.8,1
9606.ENSP00000258091,816.6,1
9606.ENSP00000258098,4.1,1
9606.ENSP00000258105,32.5,1
9606.ENSP00000258106,0.1,1
9606.ENSP00000258111,5.3,1
9606.ENSP00000258145,49.1,1
9606.ENSP00000258149,31.4,1
9606.ENSP00000258168,3.3,1
9606.ENSP00000258169,76.2,1
9606.ENSP00000258173,0.8,1
9606.ENSP00000258198,61.2,1
9606.ENSP00000258200,2.9,1
9606.ENSP00000258201,13.5,1
9606.ENSP00000258214,1.5,1
9606.ENSP00000258229,2.9,1
9606.ENSP00000258243,32,1
9606.ENSP00000258281,26.4,1
9606.ENSP00000258301,16.5,1
9606.ENSP00000258302,0,0
9606.ENSP00000258317,1.9,1
9606.ENSP00000258341,51.7,1
9606.ENSP00000258381,9,1
9606.ENSP00000258383,54.5,1
9606.ENSP00000258385,0,0
9606.ENSP00000258390,0,0
9606.ENSP00000258399,15.7,1
9606.ENSP00000258400,0,0
9606.ENSP00000258403,0.6,1
9606.ENSP00000258411,0,0
9606.ENSP00000258415,0,0
9606.ENSP00000258416,128.2,1
9606.ENSP00000258418,44.8,1
9606.ENSP00000258424,117.5,1
9606.ENSP00000258428,9.3,1
9606.ENSP00000258436,4.8,1
9606.ENSP00000258439,23.1,1
9606.ENSP00000258443,0,0
9606.ENSP00000258455,118,1
9606.ENSP00000258456,0,0
9606.ENSP00000258457,23.9,1
9606.ENSP00000258484,20.7,1
9606.ENSP00000258494,0.1,1
9606.ENSP00000258499,0,0
9606.ENSP00000258526,33.3,1
9606.ENSP00000258534,1.9,1
9606.ENSP00000258538,5.7,1
9606.ENSP00000258613,0,0
9606.ENSP00000258648,63.1,1
9606.ENSP00000258654,11.6,1
9606.ENSP00000258662,51.3,1
9606.ENSP00000258704,0,0
9606.ENSP00000258729,45.8,1
9606.ENSP00000258739,169.9,1
9606.ENSP00000258742,37.9,1
9606.ENSP00000258770,82.6,1
9606.ENSP00000258772,70.9,1
9606.ENSP00000258774,11.9,1
9606.ENSP00000258787,0,0
9606.ENSP00000258796,12.7,1
9606.ENSP00000258821,6.4,1
9606.ENSP00000258829,0,0
9606.ENSP00000258873,0,0
9606.ENSP00000258874,31.9,1
9606.ENSP00000258884,44.1,1
9606.ENSP00000258886,124.7,1
9606.ENSP00000258888,0,0
9606.ENSP00000258930,38.6,1
9606.ENSP00000258955,23.2,1
9606.ENSP00000258962,298.4,1
9606.ENSP00000258975,43,1
9606.ENSP00000258991,17,1
9606.ENSP00000259006,20.4,1
9606.ENSP00000259008,12.8,1
9606.ENSP00000259021,23,1
9606.ENSP00000259030,0,0
9606.ENSP00000259037,48.9,1
9606.ENSP00000259050,55.4,1
9606.ENSP00000259053,5.5,1
9606.ENSP00000259056,0.9,1
9606.ENSP00000259089,0,0
9606.ENSP00000259154,44.1,1
9606.ENSP00000259199,10.8,1
9606.ENSP00000259205,0,0
9606.ENSP00000259206,0,0
9606.ENSP00000259211,0,0
9606.ENSP00000259213,0,0
9606.ENSP00000259216,0,0
9606.ENSP00000259229,10.8,1
9606.ENSP00000259239,64.5,1
9606.ENSP00000259241,17.5,1
9606.ENSP00000259253,16.8,1
9606.ENSP00000259254,85.7,1
9606.ENSP00000259324,19.9,1
9606.ENSP00000259335,45.1,1
9606.ENSP00000259339,11.9,1
9606.ENSP00000259351,2.5,1
9606.ENSP00000259357,0,0
9606.ENSP00000259362,0,0
9606.ENSP00000259365,1.6,1
9606.ENSP00000259371,16.3,1
9606.ENSP00000259392,5.1,1
9606.ENSP00000259396,0,0
9606.ENSP00000259400,9.6,1
9606.ENSP00000259407,0,0
9606.ENSP00000259455,0.1,1
9606.ENSP00000259457,346.7,1
9606.ENSP00000259466,0,0
9606.ENSP00000259467,24.1,1
9606.ENSP00000259469,2097.6,1
9606.ENSP00000259486,2.3,1
9606.ENSP00000259512,51.8,1
9606.ENSP00000259526,0.6,1
9606.ENSP00000259569,24.2,1
9606.ENSP00000259605,19.6,1
9606.ENSP00000259607,0,0
9606.ENSP00000259608,0,0
9606.ENSP00000259631,1.4,1
9606.ENSP00000259632,101,1
9606.ENSP00000259667,21.2,1
9606.ENSP00000259708,15.8,1
9606.ENSP00000259711,16.3,1
9606.ENSP00000259727,6.7,1
9606.ENSP00000259746,25.6,1
9606.ENSP00000259750,0.3,1
9606.ENSP00000259782,0,0
9606.ENSP00000259803,0,0
9606.ENSP00000259806,12.2,1
9606.ENSP00000259808,17.9,1
9606.ENSP00000259818,212.8,1
9606.ENSP00000259845,0,0
9606.ENSP00000259870,0,0
9606.ENSP00000259873,115,1
9606.ENSP00000259874,0,0
9606.ENSP00000259881,0,0
9606.ENSP00000259883,11.9,1
9606.ENSP00000259895,10.7,1
9606.ENSP00000259915,0.7,1
9606.ENSP00000259938,0,0
9606.ENSP00000259939,0.1,1
9606.ENSP00000259951,0,0
9606.ENSP00000259953,2.9,1
9606.ENSP00000259963,20.5,1
9606.ENSP00000259983,1.8,1
9606.ENSP00000259989,0,0
9606.ENSP00000260010,0.6,1
9606.ENSP00000260045,14.4,1
9606.ENSP00000260102,206.2,1
9606.ENSP00000260113,1.1,1
9606.ENSP00000260116,1.5,1
9606.ENSP00000260118,97.2,1
9606.ENSP00000260126,5.5,1
9606.ENSP00000260128,0.8,1
9606.ENSP00000260129,24.3,1
9606.ENSP00000260130,106,1
9606.ENSP00000260184,1.2,1
9606.ENSP00000260187,7.9,1
9606.ENSP00000260191,0.1,1
9606.ENSP00000260197,9.1,1
9606.ENSP00000260210,27.2,1
9606.ENSP00000260227,0,0
9606.ENSP00000260228,0,0
9606.ENSP00000260229,0,0
9606.ENSP00000260247,24.3,1
9606.ENSP00000260257,2.6,1
9606.ENSP00000260264,0,0
9606.ENSP00000260270,12.4,1
9606.ENSP00000260276,16.5,1
9606.ENSP00000260283,0,0
9606.ENSP00000260302,0,0
9606.ENSP00000260323,0.3,1
9606.ENSP00000260324,2,1
9606.ENSP00000260327,33.4,1
9606.ENSP00000260356,2.2,1
9606.ENSP00000260361,20.1,1
9606.ENSP00000260363,121.6,1
9606.ENSP00000260372,23.7,1
9606.ENSP00000260383,28.3,1
9606.ENSP00000260385,26.9,1
9606.ENSP00000260386,3.4,1
9606.ENSP00000260402,0,0
9606.ENSP00000260403,14.8,1
9606.ENSP00000260408,16.8,1
9606.ENSP00000260442,0.1,1
9606.ENSP00000260443,165.3,1
9606.ENSP00000260447,16.4,1
9606.ENSP00000260453,4.7,1
9606.ENSP00000260505,5,1
9606.ENSP00000260508,15.6,1
9606.ENSP00000260526,0.2,1
9606.ENSP00000260563,34.3,1
9606.ENSP00000260570,13.4,1
9606.ENSP00000260585,32.4,1
9606.ENSP00000260599,9.4,1
9606.ENSP00000260600,43.1,1
9606.ENSP00000260643,70.3,1
9606.ENSP00000260645,0,0
9606.ENSP00000260649,0,0
9606.ENSP00000260653,11.7,1
9606.ENSP00000260665,118.8,1
9606.ENSP00000260682,0,0
9606.ENSP00000260702,0.1,1
9606.ENSP00000260723,0,0
9606.ENSP00000260731,72.1,1
9606.ENSP00000260743,3.8,1
9606.ENSP00000260746,12.7,1
9606.ENSP00000260762,20.8,1
9606.ENSP00000260803,20.6,1
9606.ENSP00000260810,62.8,1
9606.ENSP00000260818,22.1,1
9606.ENSP00000260843,0,0
9606.ENSP00000260947,16.5,1
9606.ENSP00000260950,0,0
9606.ENSP00000260952,60.2,1
9606.ENSP00000260953,103,1
9606.ENSP00000260970,56.6,1
9606.ENSP00000260983,0.9,1
9606.ENSP00000260988,0,0
9606.ENSP00000261007,0,0
9606.ENSP00000261015,18.2,1
9606.ENSP00000261023,19.3,1
9606.ENSP00000261024,2.4,1
9606.ENSP00000261037,0.4,1
9606.ENSP00000261038,4.3,1
9606.ENSP00000261047,0,0
9606.ENSP00000261058,0,0
9606.ENSP00000261070,138.5,1
9606.ENSP00000261167,82.3,1
9606.ENSP00000261170,0,0
9606.ENSP00000261172,0,0
9606.ENSP00000261177,0.3,1
9606.ENSP00000261180,5.4,1
9606.ENSP00000261183,37.2,1
9606.ENSP00000261187,1,1
9606.ENSP00000261191,56.1,1
9606.ENSP00000261195,0,0
9606.ENSP00000261196,0,0
9606.ENSP00000261200,0,0
9606.ENSP00000261205,0.3,1
9606.ENSP00000261208,0.2,1
9606.ENSP00000261211,19.8,1
9606.ENSP00000261226,10.7,1
9606.ENSP00000261233,3.2,1
9606.ENSP00000261234,17.5,1
9606.ENSP00000261245,53,1
9606.ENSP00000261249,22.9,1
9606.ENSP00000261250,19,1
9606.ENSP00000261254,0.1,1
9606.ENSP00000261263,8.5,1
9606.ENSP00000261267,0,0
9606.ENSP00000261275,0,0
9606.ENSP00000261292,8.1,1
9606.ENSP00000261296,20.1,1
9606.ENSP00000261303,182.2,1
9606.ENSP00000261304,0,0
9606.ENSP00000261308,38.4,1
9606.ENSP00000261313,495,1
9606.ENSP00000261318,21.3,1
9606.ENSP00000261326,2.9,1
9606.ENSP00000261332,44.7,1
9606.ENSP00000261336,0,0
9606.ENSP00000261340,1.2,1
9606.ENSP00000261349,14.6,1
9606.ENSP00000261366,90.9,1
9606.ENSP00000261368,2.1,1
9606.ENSP00000261369,15.2,1
9606.ENSP00000261374,0,0
9606.ENSP00000261377,7.7,1
9606.ENSP00000261381,0,0
9606.ENSP00000261383,0,0
9606.ENSP00000261386,35.2,1
9606.ENSP00000261396,51.8,1
9606.ENSP00000261402,12.6,1
9606.ENSP00000261405,0,0
9606.ENSP00000261407,19.2,1
9606.ENSP00000261416,43.2,1
9606.ENSP00000261427,95.4,1
9606.ENSP00000261434,15.9,1
9606.ENSP00000261435,7.7,1
9606.ENSP00000261438,14.9,1
9606.ENSP00000261439,35.8,1
9606.ENSP00000261441,9.8,1
9606.ENSP00000261448,0,0
9606.ENSP00000261461,18.3,1
9606.ENSP00000261464,15.1,1
9606.ENSP00000261475,20,1
9606.ENSP00000261479,306.6,1
9606.ENSP00000261483,14.5,1
9606.ENSP00000261486,1.1,1
9606.ENSP00000261488,0.7,1
9606.ENSP00000261497,176.7,1
9606.ENSP00000261499,11.2,1
9606.ENSP00000261503,10.7,1
9606.ENSP00000261507,101.6,1
9606.ENSP00000261514,61.2,1
9606.ENSP00000261517,18.8,1
9606.ENSP00000261520,28.3,1
9606.ENSP00000261523,6.1,1
9606.ENSP00000261530,23.4,1
9606.ENSP00000261531,81.8,1
9606.ENSP00000261534,8.8,1
9606.ENSP00000261537,21.4,1
9606.ENSP00000261556,9.7,1
9606.ENSP00000261558,32.1,1
9606.ENSP00000261560,0.3,1
9606.ENSP00000261574,430,1
9606.ENSP00000261584,13.9,1
9606.ENSP00000261588,9.7,1
9606.ENSP00000261590,54.7,1
9606.ENSP00000261592,0,0
9606.ENSP00000261593,35.1,1
9606.ENSP00000261596,13.8,1
9606.ENSP00000261597,98.2,1
9606.ENSP00000261600,43,1
9606.ENSP00000261601,125.1,1
9606.ENSP00000261609,12,1
9606.ENSP00000261622,142.5,1
9606.ENSP00000261623,21.4,1
9606.ENSP00000261636,67.1,1
9606.ENSP00000261637,33,1
9606.ENSP00000261643,16.6,1
9606.ENSP00000261647,9.9,1
9606.ENSP00000261652,0,0
9606.ENSP00000261654,0,0
9606.ENSP00000261655,0,0
9606.ENSP00000261658,65,1
9606.ENSP00000261667,64.1,1
9606.ENSP00000261681,13.9,1
9606.ENSP00000261692,484,1
9606.ENSP00000261693,58,1
9606.ENSP00000261700,226.2,1
9606.ENSP00000261707,0,0
9606.ENSP00000261708,16.7,1
9606.ENSP00000261712,114.5,1
9606.ENSP00000261714,135.5,1
9606.ENSP00000261716,30.4,1
9606.ENSP00000261721,82.7,1
9606.ENSP00000261726,1.3,1
9606.ENSP00000261731,0,0
9606.ENSP00000261733,0.1,1
9606.ENSP00000261735,187.8,1
9606.ENSP00000261739,21.7,1
9606.ENSP00000261745,32.8,1
9606.ENSP00000261749,125.9,1
9606.ENSP00000261751,0.3,1
9606.ENSP00000261758,54.1,1
9606.ENSP00000261769,0,0
9606.ENSP00000261772,160.5,1
9606.ENSP00000261776,27.8,1
9606.ENSP00000261778,10.6,1
9606.ENSP00000261783,58.2,1
9606.ENSP00000261789,14.9,1
9606.ENSP00000261796,0,0
9606.ENSP00000261797,25.1,1
9606.ENSP00000261799,0.1,1
9606.ENSP00000261800,0,0
9606.ENSP00000261811,55.7,1
9606.ENSP00000261813,102,1
9606.ENSP00000261819,131.5,1
9606.ENSP00000261835,0,0
9606.ENSP00000261837,23.1,1
9606.ENSP00000261839,5.3,1
9606.ENSP00000261842,9,1
9606.ENSP00000261845,53.8,1
9606.ENSP00000261854,45.2,1
9606.ENSP00000261858,12.1,1
9606.ENSP00000261866,15.1,1
9606.ENSP00000261867,2,1
9606.ENSP00000261868,137.7,1
9606.ENSP00000261875,344.4,1
9606.ENSP00000261879,15.8,1
9606.ENSP00000261880,129.9,1
9606.ENSP00000261881,94.2,1
9606.ENSP00000261883,0.2,1
9606.ENSP00000261884,38.3,1
9606.ENSP00000261888,30.3,1
9606.ENSP00000261889,102.6,1
9606.ENSP00000261890,525,1
9606.ENSP00000261891,3.8,1
9606.ENSP00000261892,3.9,1
9606.ENSP00000261893,35.6,1
9606.ENSP00000261900,35.6,1
9606.ENSP00000261917,0,0
9606.ENSP00000261918,1.5,1
